id,time_created,time_updated,number,purchase_order_header_id,company_id,itemfile_number_sfk,order_quantity,received_quantity,cost,message,color_id_sfk,fabric_id_sfk,cancelled_quantity,cancelled_temp_quantity,ship_to_id_sfk,required_date,date_ordered,freight_per_item,temp_quantity_to_receive,vendor_id,last_received_date,landed_cost,status_type_id,purchase_order_requisition_indicator_type_id,exception_ind_type_id,converted_purchase_order_number,approved_ind
f86d76ce-05d9-11ec-9c1b-005056bb008a,2021-08-25 19:23:47.560839,2021-08-25 19:23:47.560839,13069,eb52e23a-05d9-11ec-ab8d-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ADWPLWED8500BC,1,0,532.510,,,,,,10,2020-08-30,2020-08-20,,,b5d4e158-05d9-11ec-a5bc-005056bb008a,,532.510,4,1,2,0,false
f86d8c9a-05d9-11ec-9c1c-005056bb008a,2021-08-25 19:23:47.561389,2021-08-25 19:23:47.561389,16093,eb526508-05d9-11ec-ab0e-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MKSER5009525331060,1,1,553.300,AUBURN HILLS EPT KING,,,,,1,2020-02-14,2020-02-07,,,b5d5dcc0-05d9-11ec-a65f-005056bb008a,2020-02-07,553.300,6,1,2,0,false
f86d8d8a-05d9-11ec-9c1d-005056bb008a,2021-08-25 19:23:47.561411,2021-08-25 19:23:47.561411,16093,eb526508-05d9-11ec-ab0e-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MBSER5009657995020,2,2,71.500,LOW PROFILE FOUNDATION TWIN XL,,,,,1,2020-02-14,2020-02-07,,,b5d670f4-05d9-11ec-a692-005056bb008a,2020-02-07,71.500,6,1,2,0,false
f86d8e16-05d9-11ec-9c1e-005056bb008a,2021-08-25 19:23:47.561425,2021-08-25 19:23:47.561425,16094,eb52842a-05d9-11ec-ab0f-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MFSER5009518361030,1,1,284.900,FULL MATTRESS 500951836-1030 $170.50 /nFULL FOUNDATION 500965799-5030 $82.50 /nBEDFRAME - $31.90,,,,,16,2020-02-17,2020-02-10,,,b5d5dcc0-05d9-11ec-a65f-005056bb008a,2020-02-12,284.900,6,1,2,0,false
f86d8eca-05d9-11ec-9c1f-005056bb008a,2021-08-25 19:23:47.561443,2021-08-25 19:23:47.561443,16095,eb52852e-05d9-11ec-ab10-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MBSER5009657995050,1,1,82.500,QUEEN BOX SPRING,,,,,16,2020-02-19,2020-02-12,,,b5d670f4-05d9-11ec-a692-005056bb008a,2020-02-14,82.500,6,1,2,0,false
f86d8f56-05d9-11ec-9c20-005056bb008a,2021-08-25 19:23:47.561457,2021-08-25 19:23:47.561457,16097,eb528c40-05d9-11ec-ab1a-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MQSER5009527311050,1,1,225.500,500952731-1050 $225.50;,,,,,6,2020-02-24,2020-02-17,,,b5d670f4-05d9-11ec-a692-005056bb008a,2020-02-22,225.500,6,1,2,0,false
f86d8fd8-05d9-11ec-9c21-005056bb008a,2021-08-25 19:23:47.56147,2021-08-25 19:23:47.56147,16098,eb528cea-05d9-11ec-ab1b-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MKSER5009523361060,1,1,542.300,RAYLIEGH EUROTOP KING $363.00 2019 AM FOUNDATION $71.50 EA Q /nTY 2,,,,,16,2020-02-24,2020-02-17,,,b5d5dcc0-05d9-11ec-a65f-005056bb008a,2020-02-18,542.300,6,1,2,0,false
f86d905a-05d9-11ec-9c22-005056bb008a,2021-08-25 19:23:47.561483,2021-08-25 19:23:47.561483,16099,eb528da8-05d9-11ec-ab1c-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MKSER5009527311060,1,1,520.300,RAYLEIGH FIRM KING $341 /nFOUNDATION $71.50 X 2,,,,,16,2020-02-24,2020-02-17,,,b5d670f4-05d9-11ec-a692-005056bb008a,2020-02-18,520.300,6,1,2,0,false
f86d90e6-05d9-11ec-9c23-005056bb008a,2021-08-25 19:23:47.561497,2021-08-25 19:23:47.561497,16100,eb528e48-05d9-11ec-ab1d-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,AWAMANTW4516FW,1,1,285.000,3.6' TOPLOAD WASHER 8 CYCLE - WHITE,,,,,15,2020-02-27,2020-02-17,,,b5d4e158-05d9-11ec-a5bc-005056bb008a,2020-02-17,285.000,6,1,2,0,false
f86d9168-05d9-11ec-9c24-005056bb008a,2021-08-25 19:23:47.56151,2021-08-25 19:23:47.56151,16100,eb528e48-05d9-11ec-ab1d-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ADAMANED4655EW,1,1,265.000,6.5' ELECTRIC DRYER 11 CYCLE - WHITE,,,,,15,2020-02-27,2020-02-17,,,b5d4e158-05d9-11ec-a5bc-005056bb008a,2020-02-17,265.000,6,1,2,0,false
f86d91ea-05d9-11ec-9c25-005056bb008a,2021-08-25 19:23:47.561523,2021-08-25 19:23:47.561523,16101,eb528ef2-05d9-11ec-ab1e-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ZJNEWTTB138G,1,1,58.000,TITANIUM BLACK CARBON FIBER INLAY 8MM POLISHED BAND,,,,,1,2020-02-26,2020-02-18,,,b5d6aa24-05d9-11ec-a6b2-005056bb008a,2020-02-24,58.000,6,1,2,0,false
f86d926c-05d9-11ec-9c26-005056bb008a,2021-08-25 19:23:47.561536,2021-08-25 19:23:47.561536,16102,eb529046-05d9-11ec-ab20-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,AMFRGFGMV176NTD,1,1,261.000,1.7 Cu Ft OTR Microwave S/S,,,,,1,2020-03-05,2020-02-20,,,b5d5693e-05d9-11ec-a617-005056bb008a,2020-02-21,261.000,1,1,2,0,false
f86d92ee-05d9-11ec-9c27-005056bb008a,2021-08-25 19:23:47.561549,2021-08-25 19:23:47.561549,16102,eb529046-05d9-11ec-ab20-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ARRACATFR1801EBE,1,1,415.000,ASCOLI 18.2 CUFT TOP FRZ BLACK,,,,,1,2020-03-05,2020-02-20,,,b5d5693e-05d9-11ec-a617-005056bb008a,2020-02-21,415.000,1,1,2,0,false
f86d9398-05d9-11ec-9c28-005056bb008a,2021-08-25 19:23:47.561566,2021-08-25 19:23:47.561566,16102,eb529046-05d9-11ec-ab20-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ARRACATFR1801EWE,1,1,415.000,ASCOLI 18.2 CUFT TOP FRZ WHITE,,,,,1,2020-03-05,2020-02-20,,,b5d5693e-05d9-11ec-a617-005056bb008a,2020-02-21,415.000,1,1,2,0,false
f86d941a-05d9-11ec-9c29-005056bb008a,2021-08-25 19:23:47.561578,2021-08-25 19:23:47.561579,16102,eb529046-05d9-11ec-ab20-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ARRACATFR1405EWE,1,0,375.000,ASCOLI 14.5 CUFT ESTAR WHITE,,,,,1,2020-03-05,2020-02-20,,,b5d5693e-05d9-11ec-a617-005056bb008a,,375.000,1,1,2,0,false
f86d949c-05d9-11ec-9c2a-005056bb008a,2021-08-25 19:23:47.561592,2021-08-25 19:23:47.561592,16103,eb5290e6-05d9-11ec-ab21-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ZJNEWBR143GO,1,1,605.000,10K .25CTTW DIAMOND BRIDAL SET W/CHOCOLATE DIAMOND CENTER /nSTONE YELLOW GOLD,,,,,10,2020-02-29,2020-02-21,,,b5d6aa24-05d9-11ec-a6b2-005056bb008a,2020-02-28,605.000,6,1,2,0,false
f86d951e-05d9-11ec-9c2b-005056bb008a,2021-08-25 19:23:47.561605,2021-08-25 19:23:47.561606,16104,eb5291ae-05d9-11ec-ab22-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ZJNEWTRBR102GO,1,1,524.500,10K 1/8CTTW DIAMOND BRIDAL SET /nYELLOW GOLD,,,,,6,2020-02-29,2020-02-21,,,b5d6aa24-05d9-11ec-a6b2-005056bb008a,2020-03-03,524.500,6,1,2,0,false
f86d95aa-05d9-11ec-9c2c-005056bb008a,2021-08-25 19:23:47.561619,2021-08-25 19:23:47.561619,16104,eb5291ae-05d9-11ec-ab22-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ZJNEWTRG102GO,1,1,374.500,10K 5 DIAMOND GENTS BAND YELLOW GOLD,,,,,6,2020-02-29,2020-02-21,,,b5d6aa24-05d9-11ec-a6b2-005056bb008a,2020-03-03,374.500,6,1,2,0,false
f86d962c-05d9-11ec-9c2d-005056bb008a,2021-08-25 19:23:47.561632,2021-08-25 19:23:47.561632,16105,eb529258-05d9-11ec-ab23-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,MFSER5009531861030,1,1,130.900,MAKINAW EURO TOP FULL MATTRESS,,,,,16,2020-02-28,2020-02-21,,,b5d670f4-05d9-11ec-a692-005056bb008a,2020-03-07,130.900,6,1,2,0,false
f86d96ae-05d9-11ec-9c2e-005056bb008a,2021-08-25 19:23:47.561645,2021-08-25 19:23:47.561645,16106,eb529442-05d9-11ec-ab26-005056bb008a,157dcbe8-05d9-11ec-882f-005056bb008a,ZJNEWLR104GO,1,1,455.500,10K .15CTTW LADIES FASHION RING - YELLOW GOLD,,,,,14,2020-02-29,2020-02-21,,,b5d6aa24-05d9-11ec-a6b2-005056bb008a,2020-02-21,455.500,6,1,2,0,false
