"id","time_created","time_updated","company_id","number","name","type_id","normal_account_balance_type_id","status_type_id","form_1099_field","corporate_account_indicator","search_vector"
"e5c54dda-05d9-11ec-a4e3-005056bb008a","2021-08-25 19:23:16.259796","2021-08-25 19:23:16.259796","157dcbe8-05d9-11ec-882f-005056bb008a","1000","CASH ON HAND - DD","1","2","1",,"false","'1000':1A 'cash':2B 'dd':5B 'hand':4B"
"e5c59a74-05d9-11ec-a4e4-005056bb008a","2021-08-25 19:23:16.261751","2021-08-25 19:23:16.261751","157dcbe8-05d9-11ec-882f-005056bb008a","1001","CASH ON HAND","1","2","1",,"false","'1001':1A 'cash':2B 'hand':4B"
"e5c59d8a-05d9-11ec-a4e5-005056bb008a","2021-08-25 19:23:16.261828","2021-08-25 19:23:16.261828","157dcbe8-05d9-11ec-882f-005056bb008a","1002","MANUAL BANK DEPOSIT CLEARING","1","2","1",,"false","'1002':1A 'bank':3B 'clear':5B 'deposit':4B 'manual':2B"
"e5c59efc-05d9-11ec-a4e6-005056bb008a","2021-08-25 19:23:16.261864","2021-08-25 19:23:16.261864","157dcbe8-05d9-11ec-882f-005056bb008a","1010","PETTY CASH","1","2","1",,"false","'1010':1A 'cash':3B 'petti':2B"
"e5c5a000-05d9-11ec-a4e7-005056bb008a","2021-08-25 19:23:16.26189","2021-08-25 19:23:16.261891","157dcbe8-05d9-11ec-882f-005056bb008a","1015","RTO TO PDL DRAWER TRANSFER","1","2","1",,"false","'1015':1A 'drawer':5B 'pdl':4B 'rto':2B 'transfer':6B"
"e5c5a140-05d9-11ec-a4e8-005056bb008a","2021-08-25 19:23:16.261922","2021-08-25 19:23:16.261922","157dcbe8-05d9-11ec-882f-005056bb008a","1016","WEB PAYMENT CLEARING","1","2","1",,"true","'1016':1A 'clear':4B 'payment':3B 'web':2B"
"e5c5a24e-05d9-11ec-a4e9-005056bb008a","2021-08-25 19:23:16.26195","2021-08-25 19:23:16.26195","157dcbe8-05d9-11ec-882f-005056bb008a","1019","CASH CLEARING","1","2","1",,"true","'1019':1A 'cash':2B 'clear':3B"
"e5c5a33e-05d9-11ec-a4ea-005056bb008a","2021-08-25 19:23:16.261973","2021-08-25 19:23:16.261973","157dcbe8-05d9-11ec-882f-005056bb008a","1020","BANK CARD CLEARING","1","2","1",,"true","'1020':1A 'bank':2B 'card':3B 'clear':4B"
"e5c5a438-05d9-11ec-a4eb-005056bb008a","2021-08-25 19:23:16.261998","2021-08-25 19:23:16.261998","157dcbe8-05d9-11ec-882f-005056bb008a","1021","CASH IN BANK/DeFuniak Springs","1","2","1",,"false","'1021':1A 'bank/defuniak':4B 'cash':2B 'spring':5B"
"e5c5a564-05d9-11ec-a4ec-005056bb008a","2021-08-25 19:23:16.262028","2021-08-25 19:23:16.262028","157dcbe8-05d9-11ec-882f-005056bb008a","1023","CASH IN BANK/Panama City","1","2","1",,"false","'1023':1A 'bank/panama':4B 'cash':2B 'citi':5B"
"e5c5a69a-05d9-11ec-a4ed-005056bb008a","2021-08-25 19:23:16.262059","2021-08-25 19:23:16.262059","157dcbe8-05d9-11ec-882f-005056bb008a","1024","CASH IN BANK/Milton","1","2","1",,"false","'1024':1A 'bank/milton':4B 'cash':2B"
"e5c5a78a-05d9-11ec-a4ee-005056bb008a","2021-08-25 19:23:16.262083","2021-08-25 19:23:16.262083","157dcbe8-05d9-11ec-882f-005056bb008a","1025","CASH IN BANK/Gulfport","1","2","1",,"false","'1025':1A 'bank/gulfport':4B 'cash':2B"
"e5c5a87a-05d9-11ec-a4ef-005056bb008a","2021-08-25 19:23:16.262107","2021-08-25 19:23:16.262107","157dcbe8-05d9-11ec-882f-005056bb008a","1026","CASH IN BANK/Opp","1","2","1",,"false","'1026':1A 'bank/opp':4B 'cash':2B"
"e5c5a960-05d9-11ec-a4f0-005056bb008a","2021-08-25 19:23:16.26213","2021-08-25 19:23:16.26213","157dcbe8-05d9-11ec-882f-005056bb008a","1028","CASH IN BANK/Atmore","1","2","1",,"false","'1028':1A 'bank/atmore':4B 'cash':2B"
