"id","time_created","time_updated","invoice_id","distribution_account_id","distribution_profit_center_id_sfk","distribution_amount"
"52644d56-05da-11ec-9508-005056bb008a","2021-08-25 19:26:18.495739","2021-08-25 19:26:18.495739","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","1","4936.00"
"526457e2-05da-11ec-9509-005056bb008a","2021-08-25 19:26:18.496","2021-08-25 19:26:18.496","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","6","3177.00"
"52645850-05da-11ec-950a-005056bb008a","2021-08-25 19:26:18.49601","2021-08-25 19:26:18.49601","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","7","4058.00"
"52645896-05da-11ec-950b-005056bb008a","2021-08-25 19:26:18.496017","2021-08-25 19:26:18.496017","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","10","1996.00"
"526458dc-05da-11ec-950c-005056bb008a","2021-08-25 19:26:18.496023","2021-08-25 19:26:18.496023","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","14","1752.00"
"52645918-05da-11ec-950d-005056bb008a","2021-08-25 19:26:18.49603","2021-08-25 19:26:18.49603","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","15","2478.00"
"52645954-05da-11ec-950e-005056bb008a","2021-08-25 19:26:18.496036","2021-08-25 19:26:18.496036","38288cea-05da-11ec-bedb-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","16","2429.00"
"52645990-05da-11ec-950f-005056bb008a","2021-08-25 19:26:18.496042","2021-08-25 19:26:18.496042","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","1","1754.00"
"526459f4-05da-11ec-9510-005056bb008a","2021-08-25 19:26:18.496052","2021-08-25 19:26:18.496052","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","6","1629.00"
"52645a3a-05da-11ec-9511-005056bb008a","2021-08-25 19:26:18.496059","2021-08-25 19:26:18.496059","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","7","1649.00"
"52645a76-05da-11ec-9512-005056bb008a","2021-08-25 19:26:18.496065","2021-08-25 19:26:18.496065","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","10","1023.00"
"52645ab2-05da-11ec-9513-005056bb008a","2021-08-25 19:26:18.496071","2021-08-25 19:26:18.496071","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","14","906.00"
"52645af8-05da-11ec-9514-005056bb008a","2021-08-25 19:26:18.496077","2021-08-25 19:26:18.496077","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","15","1282.00"
"52645b34-05da-11ec-9515-005056bb008a","2021-08-25 19:26:18.496083","2021-08-25 19:26:18.496083","38288cea-05da-11ec-bedb-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","16","1256.00"
"52645b70-05da-11ec-9516-005056bb008a","2021-08-25 19:26:18.49609","2021-08-25 19:26:18.49609","38288cea-05da-11ec-bedb-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-30325.00"
"52645bac-05da-11ec-9517-005056bb008a","2021-08-25 19:26:18.496096","2021-08-25 19:26:18.496096","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","1","-600.00"
"52645bf2-05da-11ec-9518-005056bb008a","2021-08-25 19:26:18.496103","2021-08-25 19:26:18.496103","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","6","552.00"
"52645c2e-05da-11ec-9519-005056bb008a","2021-08-25 19:26:18.496109","2021-08-25 19:26:18.496109","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","7","-98.00"
"52645c6a-05da-11ec-951a-005056bb008a","2021-08-25 19:26:18.496115","2021-08-25 19:26:18.496115","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","10","333.00"
"52645ca6-05da-11ec-951b-005056bb008a","2021-08-25 19:26:18.496121","2021-08-25 19:26:18.496121","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","14","709.00"
"52645cec-05da-11ec-951c-005056bb008a","2021-08-25 19:26:18.496128","2021-08-25 19:26:18.496128","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","15","747.00"
"52645d28-05da-11ec-951d-005056bb008a","2021-08-25 19:26:18.496134","2021-08-25 19:26:18.496134","3828a46e-05da-11ec-bedc-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","16","715.00"
"52645d64-05da-11ec-951e-005056bb008a","2021-08-25 19:26:18.49614","2021-08-25 19:26:18.49614","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","1","96.00"
"52645da0-05da-11ec-951f-005056bb008a","2021-08-25 19:26:18.496146","2021-08-25 19:26:18.496146","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","6","204.00"
"52645ddc-05da-11ec-9520-005056bb008a","2021-08-25 19:26:18.496152","2021-08-25 19:26:18.496152","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","7","287.00"
"52645e18-05da-11ec-9521-005056bb008a","2021-08-25 19:26:18.496158","2021-08-25 19:26:18.496158","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","10","141.00"
"52645e5e-05da-11ec-9522-005056bb008a","2021-08-25 19:26:18.496164","2021-08-25 19:26:18.496165","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","14","367.00"
"52645e9a-05da-11ec-9523-005056bb008a","2021-08-25 19:26:18.496171","2021-08-25 19:26:18.496171","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","15","386.00"
"52645ed6-05da-11ec-9524-005056bb008a","2021-08-25 19:26:18.496177","2021-08-25 19:26:18.496177","3828a46e-05da-11ec-bedc-005056bb008a","e5c6ea46-05d9-11ec-a5f2-005056bb008a","16","370.00"
"52645f30-05da-11ec-9525-005056bb008a","2021-08-25 19:26:18.496186","2021-08-25 19:26:18.496186","3828a46e-05da-11ec-bedc-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-4209.00"
"52645f76-05da-11ec-9526-005056bb008a","2021-08-25 19:26:18.496192","2021-08-25 19:26:18.496193","3828a55e-05da-11ec-bedd-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","1","5195.00"
"52645fb2-05da-11ec-9527-005056bb008a","2021-08-25 19:26:18.496199","2021-08-25 19:26:18.496199","3828a55e-05da-11ec-bedd-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","6","3999.00"
"52645fee-05da-11ec-9528-005056bb008a","2021-08-25 19:26:18.496205","2021-08-25 19:26:18.496205","3828a55e-05da-11ec-bedd-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","7","4175.00"
"5264602a-05da-11ec-9529-005056bb008a","2021-08-25 19:26:18.496211","2021-08-25 19:26:18.496211","3828a55e-05da-11ec-bedd-005056bb008a","e5c6b6a2-05d9-11ec-a5c8-005056bb008a","10","2547.00"
