"id","time_created","time_updated","company_id","bank_id","vendor_id","account_payable_payment_status_id","account_payable_payment_type_id","payment_number","payment_date","date_cleared","date_voided","amount","payment_interfaced_indicator","void_interfaced_indicator"
"0260d954-05db-11ec-88d8-005056bb008a","2021-08-25 19:31:13.75211","2021-08-25 19:31:13.75211","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","3010","2020-01-15","2020-01-31",,"0.00",false,false
"0260e6a6-05db-11ec-88d9-005056bb008a","2021-08-25 19:31:13.752443","2021-08-25 19:31:13.752443","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","3012","2020-01-15","2020-01-31",,"0.00",false,false
"0260e7aa-05db-11ec-88da-005056bb008a","2021-08-25 19:31:13.752468","2021-08-25 19:31:13.752468","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","53961","2020-01-28","2020-02-29",,"48352.12",false,false
"0260e822-05db-11ec-88db-005056bb008a","2021-08-25 19:31:13.752479","2021-08-25 19:31:13.752479","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","53984","2020-02-05","2020-02-29",,"39226.52",false,false
"0260e886-05db-11ec-88dc-005056bb008a","2021-08-25 19:31:13.752489","2021-08-25 19:31:13.752489","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","53990","2020-02-06",,,"18676.41",false,false
"0260e8ea-05db-11ec-88dd-005056bb008a","2021-08-25 19:31:13.752499","2021-08-25 19:31:13.752499","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54018","2020-02-07","2020-02-29",,"30325.00",false,false
"0260e944-05db-11ec-88de-005056bb008a","2021-08-25 19:31:13.752508","2021-08-25 19:31:13.752508","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54037","2020-02-18",,,"4209.00",false,false
"0260e9a8-05db-11ec-88df-005056bb008a","2021-08-25 19:31:13.752518","2021-08-25 19:31:13.752518","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54080","2020-03-02",,,"26356.83",false,false
"0260ea02-05db-11ec-88e0-005056bb008a","2021-08-25 19:31:13.752527","2021-08-25 19:31:13.752527","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54082","2020-03-04",,,"4684.06",false,false
"0260ea66-05db-11ec-88e1-005056bb008a","2021-08-25 19:31:13.752537","2021-08-25 19:31:13.752537","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54083","2020-03-05",,,"34581.65",false,false
"0260eaca-05db-11ec-88e2-005056bb008a","2021-08-25 19:31:13.752546","2021-08-25 19:31:13.752546","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54100","2020-03-06",,,"37368.00",false,false
"0260eb24-05db-11ec-88e3-005056bb008a","2021-08-25 19:31:13.752556","2021-08-25 19:31:13.752556","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54113","2020-03-11",,,"35708.02",false,false
"0260eb88-05db-11ec-88e4-005056bb008a","2021-08-25 19:31:13.752566","2021-08-25 19:31:13.752566","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54114","2020-03-11",,,"17967.18",false,false
"0260ebe2-05db-11ec-88e5-005056bb008a","2021-08-25 19:31:13.752575","2021-08-25 19:31:13.752575","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54120","2020-03-12",,,"260.59",false,false
"0260ec96-05db-11ec-88e6-005056bb008a","2021-08-25 19:31:13.752593","2021-08-25 19:31:13.752593","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54121","2020-03-12",,,"1726.68",false,false
"0260ed04-05db-11ec-88e7-005056bb008a","2021-08-25 19:31:13.752604","2021-08-25 19:31:13.752604","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","1","2","54124","2020-03-23",,,"11874.22",false,false
"0260ed68-05db-11ec-88e8-005056bb008a","2021-08-25 19:31:13.752614","2021-08-25 19:31:13.752614","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","53960","2020-01-28","2020-01-28",,"48127.18",false,false
"0260edd6-05db-11ec-88e9-005056bb008a","2021-08-25 19:31:13.752625","2021-08-25 19:31:13.752625","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","53985","2020-02-05",,"2020-02-24","26356.83",false,false
"0260ee44-05db-11ec-88ea-005056bb008a","2021-08-25 19:31:13.752635","2021-08-25 19:31:13.752636","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","53989","2020-02-06",,"2020-02-06","18676.41",false,false
"0260eea8-05db-11ec-88eb-005056bb008a","2021-08-25 19:31:13.752646","2021-08-25 19:31:13.752646","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","53991","2020-02-06",,"2020-02-24","54454.03",false,false
"0260ef0c-05db-11ec-88ec-005056bb008a","2021-08-25 19:31:13.752656","2021-08-25 19:31:13.752656","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","54081","2020-03-02",,"2020-03-05","54454.03",false,false
"0260ef7a-05db-11ec-88ed-005056bb008a","2021-08-25 19:31:13.752667","2021-08-25 19:31:13.752667","157dcbe8-05d9-11ec-882f-005056bb008a","e72c04ac-05d9-11ec-9c92-005056bb008a","b5d44130-05d9-11ec-a552-005056bb008a","2","2","54112","2020-03-11",,"2020-03-11","35026.54",false,false
