"id","time_created","time_updated","area_type_id","company_id"
"9a727ab0-05d9-11ec-825d-005056bb008a","2021-08-25 19:21:09.887876","2021-08-25 19:21:09.887876","4","157dcbe8-05d9-11ec-882f-005056bb008a"
"9a758700-05d9-11ec-ab78-005056bb008a","2021-08-25 19:21:09.907852","2021-08-25 19:21:09.907852","1","157dcbe8-05d9-11ec-882f-005056bb008a"
"9a7ac8c8-05d9-11ec-8501-005056bb008a","2021-08-25 19:21:09.942305","2021-08-25 19:21:09.942305","3","157dcbe8-05d9-11ec-882f-005056bb008a"
"9a804410-05d9-11ec-acff-005056bb008a","2021-08-25 19:21:09.978228","2021-08-25 19:21:09.978228","2","157dcbe8-05d9-11ec-882f-005056bb008a"
"9a878054-05d9-11ec-acfb-005056bb008a","2021-08-25 19:21:10.025645","2021-08-25 19:21:10.025645","5","157dcbe8-05d9-11ec-882f-005056bb008a"
"9abd87da-05d9-11ec-bff7-005056bb008a","2021-08-25 19:21:10.379733","2021-08-25 19:21:10.379733","4","15c8bdba-05d9-11ec-a4c4-005056bb008a"
"9ac04a6a-05d9-11ec-879d-005056bb008a","2021-08-25 19:21:10.39782","2021-08-25 19:21:10.39782","1","15c8bdba-05d9-11ec-a4c4-005056bb008a"
"9ac2f5bc-05d9-11ec-8a17-005056bb008a","2021-08-25 19:21:10.415312","2021-08-25 19:21:10.415312","3","15c8bdba-05d9-11ec-a4c4-005056bb008a"
"9ac5b2de-05d9-11ec-9c7f-005056bb008a","2021-08-25 19:21:10.433261","2021-08-25 19:21:10.433261","2","15c8bdba-05d9-11ec-a4c4-005056bb008a"
"9ac86e98-05d9-11ec-822f-005056bb008a","2021-08-25 19:21:10.451174","2021-08-25 19:21:10.451174","5","15c8bdba-05d9-11ec-a4c4-005056bb008a"
