id,time_created,time_updated,company_id,vendor_id,invoice,purchase_order_id,invoice_date,invoice_amount,discount_amount,discount_percent,auto_distribution_applied,discount_taken,entry_date,expense_date,discount_date,employee_number_id_sfk,original_invoice_amount,message,selected_id,multiple_payment_indicator,paid_amount,selected_amount,type_id,status_id,due_date,pay_to_id,separate_check_indicator,use_tax_indicator,receive_date,location_id_sfk,invoice_interfaced_indicator,date_voided,void_interfaced_indicator
38288cea-05da-11ec-bedb-005056bb008a,2021-08-25 19:25:34.483389,2021-08-25 19:25:34.483389,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44130-05d9-11ec-a552-005056bb008a,ROYALTY/NAF JAN 2020,,2020-01-01,30325.00,0.00,,false,0.00,2020-02-07,2020-01-31,,56,30325.00,ROYALTY /NAF FEB 2020,2,false,30325.00,0.00,1,3,2020-02-20,b5d44130-05d9-11ec-a552-005056bb008a,false,false,,,false,,false
3828a46e-05da-11ec-bedc-005056bb008a,2021-08-25 19:25:34.483982,2021-08-25 19:25:34.483983,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44130-05d9-11ec-a552-005056bb008a,ROY/NAF JAN 2020(2),,2020-02-01,4209.00,0.00,,false,0.00,2020-02-17,2020-02-17,,56,4209.00,REMAINDER OF WHAT IS DUE FOR JAN 2020 ROYALTY/NAF,2,false,4209.00,0.00,1,3,2020-02-20,b5d44130-05d9-11ec-a552-005056bb008a,false,false,,,false,,false
3828a55e-05da-11ec-bedd-005056bb008a,2021-08-25 19:25:34.484006,2021-08-25 19:25:34.484006,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44130-05d9-11ec-a552-005056bb008a,ROYALTY/NAF FEB 20,,2020-03-01,37368.00,0.00,,false,0.00,2020-03-02,2020-02-29,,56,37368.00,ROYALTY/NAF 2020,2,false,37368.00,0.00,1,3,2020-03-20,b5d44130-05d9-11ec-a552-005056bb008a,false,false,,,false,,false
3828a608-05da-11ec-bede-005056bb008a,2021-08-25 19:25:34.484022,2021-08-25 19:25:34.484022,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44130-05d9-11ec-a552-005056bb008a,10350234,,2020-03-04,-556.85,0.00,,false,0.00,2020-03-04,2020-03-04,,56,-556.85,INVOICE 10326992   9056458-10656463,2,false,-556.85,0.00,1,3,2020-03-04,b5d44130-05d9-11ec-a552-005056bb008a,false,false,,,false,,false
3828a694-05da-11ec-bedf-005056bb008a,2021-08-25 19:25:34.484036,2021-08-25 19:25:34.484036,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44608-05d9-11ec-a553-005056bb008a,902400,,2019-12-31,3.60,0.00,,false,0.00,2020-01-14,2020-01-14,,56,3.60,SOCIAL GUARD AND TELETRACK REPORT,2,false,3.60,0.00,1,3,2020-01-20,b5d44608-05d9-11ec-a553-005056bb008a,false,false,,,false,,false
3828a720-05da-11ec-bee0-005056bb008a,2021-08-25 19:25:34.48405,2021-08-25 19:25:34.48405,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44608-05d9-11ec-a553-005056bb008a,1302400,,2020-01-31,3.60,0.00,,false,0.00,2020-02-13,2020-02-13,,56,3.60,TELETRK REPORT SOCIAL GUARD,2,false,3.60,0.00,1,3,2020-02-20,b5d44608-05d9-11ec-a553-005056bb008a,false,false,,,false,,false
3828a7ac-05da-11ec-bee1-005056bb008a,2021-08-25 19:25:34.484064,2021-08-25 19:25:34.484064,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44608-05d9-11ec-a553-005056bb008a,2302300,,2020-02-29,1.44,0.00,,false,0.00,2020-03-12,2020-03-12,,56,1.44,SOCIAL GUARD AND TELETRACK REPORT MARCH 2020,2,false,1.44,0.00,1,3,2020-03-20,b5d44608-05d9-11ec-a553-005056bb008a,false,false,,,false,,false
3828a860-05da-11ec-bee2-005056bb008a,2021-08-25 19:25:34.484082,2021-08-25 19:25:34.484082,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44798-05d9-11ec-a554-005056bb008a,SB30636-56005,,2019-12-26,2671.76,0.00,,false,0.00,2020-01-03,2020-01-03,,56,2671.76,SERVICE PERIOD 11/13/19-12/16/19,2,false,2671.76,0.00,1,3,2020-01-16,b5d44798-05d9-11ec-a554-005056bb008a,false,false,,,false,,false
3828a8e2-05da-11ec-bee3-005056bb008a,2021-08-25 19:25:34.484095,2021-08-25 19:25:34.484095,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44798-05d9-11ec-a554-005056bb008a,SB30636-56005,,2020-01-27,2678.40,0.00,,false,0.00,2020-02-06,2020-02-06,,56,2678.40,FEB 20,2,false,2678.40,0.00,1,3,2020-02-17,b5d44798-05d9-11ec-a554-005056bb008a,false,false,,,false,,false
3828a96e-05da-11ec-bee4-005056bb008a,2021-08-25 19:25:34.484109,2021-08-25 19:25:34.484109,157dcbe8-05d9-11ec-882f-005056bb008a,b5d44798-05d9-11ec-a554-005056bb008a,24000-02511,,2020-02-22,3124.69,0.00,,false,0.00,2020-03-05,2020-03-05,,56,3124.69,MARCH 2020,2,false,3124.69,0.00,1,3,2020-03-16,b5d44798-05d9-11ec-a554-005056bb008a,false,false,,,false,,false
