"id","uu_row_id","time_created","time_updated","start_date","expiration_date","company_id","message","sending_employee","notification_type_id"
"1","7e2ec740-5d3f-11e9-b9fb-005056bb008d","2019-04-12 16:24:49.282884","2019-04-12 16:24:49.282885","2019-04-12","2019-04-18","corrto","Hello this is a test note","998","1"
"2","6867c78a-5d4a-11e9-87b9-005056bb008d","2019-04-12 17:42:57.210586","2019-04-12 17:42:57.210587","2019-04-12","2019-04-18","corrzg","adfadfafafdafafdafafafa","998","1"
"3","10a807e8-917a-11ea-8f8a-005056bb008d","2020-05-08 22:20:03.970676","2020-05-08 22:20:03.970677","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"4","10cdfb7e-917a-11ea-8f8e-005056bb008d","2020-05-08 22:20:04.219393","2020-05-08 22:20:04.219394","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"5","10db9c48-917a-11ea-8f92-005056bb008d","2020-05-08 22:20:04.308704","2020-05-08 22:20:04.308704","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"6","10e6ce24-917a-11ea-8f96-005056bb008d","2020-05-08 22:20:04.382069","2020-05-08 22:20:04.38207","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"7","10f342bc-917a-11ea-8f9a-005056bb008d","2020-05-08 22:20:04.463697","2020-05-08 22:20:04.463698","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"8","10fc05fa-917a-11ea-8f9e-005056bb008d","2020-05-08 22:20:04.521124","2020-05-08 22:20:04.521125","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"9","1106b5f4-917a-11ea-8fa2-005056bb008d","2020-05-08 22:20:04.591166","2020-05-08 22:20:04.591167","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"10","110fc16c-917a-11ea-8fa6-005056bb008d","2020-05-08 22:20:04.650443","2020-05-08 22:20:04.650444","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"11","11192018-917a-11ea-8faa-005056bb008d","2020-05-08 22:20:04.71185","2020-05-08 22:20:04.711851","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"12","1124fe4c-917a-11ea-8fae-005056bb008d","2020-05-08 22:20:04.789628","2020-05-08 22:20:04.789628","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"13","112ecba2-917a-11ea-8fb2-005056bb008d","2020-05-08 22:20:04.853864","2020-05-08 22:20:04.853864","2020-05-08","2020-05-09","1","Gary's Friday Test Job","998","1"
"14","3f80e814-9760-11ea-9408-005056bb008d","2020-05-16 10:30:22.6289","2020-05-16 10:30:22.628901","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"15","3fc34952-9760-11ea-940a-005056bb008d","2020-05-16 10:30:23.063908","2020-05-16 10:30:23.063908","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"16","3fce41ae-9760-11ea-940c-005056bb008d","2020-05-16 10:30:23.135799","2020-05-16 10:30:23.135799","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"17","3fda3a4a-9760-11ea-940e-005056bb008d","2020-05-16 10:30:23.214255","2020-05-16 10:30:23.214256","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"18","3fe89496-9760-11ea-9410-005056bb008d","2020-05-16 10:30:23.308315","2020-05-16 10:30:23.308316","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"19","3ffe1488-9760-11ea-9412-005056bb008d","2020-05-16 10:30:23.449228","2020-05-16 10:30:23.449228","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"20","4003ba82-9760-11ea-9414-005056bb008d","2020-05-16 10:30:23.486234","2020-05-16 10:30:23.486235","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
"21","400acade-9760-11ea-9416-005056bb008d","2020-05-16 10:30:23.532528","2020-05-16 10:30:23.532529","2020-05-16","2020-05-17","1","Complete a weekly audit at the store.","998","1"
