"id","time_created","time_updated","company_id","bank_id","type_id","transaction_date","cleared_date","amount","description","search_vector","document","deleted"
"0267f762-05da-11ec-98f6-005056bb008a","2021-08-25 19:24:04.302025","2021-08-25 19:24:04.302025","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-01","2020-01-31","173.10","SUM 0001 DEP-6","'-6':4 '0001':2 'dep':3 'sum':1","20200206",false
"02689a96-05da-11ec-98f7-005056bb008a","2021-08-25 19:24:04.306195","2021-08-25 19:24:04.306195","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-02","2020-01-31","907.84","SUM 0001 DEP-1","'-1':4 '0001':2 'dep':3 'sum':1","20200206",false
"02689d20-05da-11ec-98f8-005056bb008a","2021-08-25 19:24:04.306259","2021-08-25 19:24:04.306259","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-02","2020-01-31","1561.64","SUM 0001 DEP-4","'-4':4 '0001':2 'dep':3 'sum':1","20200206",false
"02689dfc-05da-11ec-98f9-005056bb008a","2021-08-25 19:24:04.30628","2021-08-25 19:24:04.30628","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","6","2020-01-02","2020-01-31","-835.74","G/L 0001 AJE","'0001':2 'aje':3 'g/l':1","20200206",false
"02689eb0-05da-11ec-98fa-005056bb008a","2021-08-25 19:24:04.306298","2021-08-25 19:24:04.306298","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-02","2020-01-31","9060.00","G/L 0001 PDL","'0001':2 'g/l':1 'pdl':3","20200116",false
"02689f6e-05da-11ec-98fb-005056bb008a","2021-08-25 19:24:04.306317","2021-08-25 19:24:04.306317","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-03","2020-01-31","1030.01","SUM 0001 DEP-1","'-1':4 '0001':2 'dep':3 'sum':1","20200206",false
"0268a022-05da-11ec-98fc-005056bb008a","2021-08-25 19:24:04.306335","2021-08-25 19:24:04.306335","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-03","2020-01-31","173.34","SUM 0001 DEP-3","'-3':4 '0001':2 'dep':3 'sum':1","20200206",false
"0268a0c2-05da-11ec-98fd-005056bb008a","2021-08-25 19:24:04.306351","2021-08-25 19:24:04.306351","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-03","2020-01-31","3401.04","SUM 0001 DEP-4","'-4':4 '0001':2 'dep':3 'sum':1","20200206",false
"0268a16c-05da-11ec-98fe-005056bb008a","2021-08-25 19:24:04.306368","2021-08-25 19:24:04.306368","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-03","2020-01-31","320.42","SUM 0001 DEP-6","'-6':4 '0001':2 'dep':3 'sum':1","20200206",false
"0268a20c-05da-11ec-98ff-005056bb008a","2021-08-25 19:24:04.306384","2021-08-25 19:24:04.306384","157dcbe8-05d9-11ec-882f-005056bb008a","e72bf566-05d9-11ec-9c8b-005056bb008a","3","2020-01-03","2020-01-31","-173.34","SUM 0001 DEP-7","'-7':4 '0001':2 'dep':3 'sum':1","20200206",false
