"id","time_created","time_updated","recurring_invoice_id","distribution_account_id","distribution_profit_center_id_sfk","distribution_amount"
"2f3f2d28-05da-11ec-bfcb-005056bb008a","2021-08-25 19:25:19.532177","2021-08-25 19:25:19.532178","2e5f9a00-05da-11ec-9daf-005056bb008a","e5c62804-05d9-11ec-a557-005056bb008a","9000","750.00"
"2f3f3836-05da-11ec-bfcc-005056bb008a","2021-08-25 19:25:19.532451","2021-08-25 19:25:19.532451","2e5f9a00-05da-11ec-9daf-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-750.00"
"2f3f38b8-05da-11ec-bfcd-005056bb008a","2021-08-25 19:25:19.532462","2021-08-25 19:25:19.532462","2e5fb030-05da-11ec-9db0-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","9000","1000.00"
"2f3f38fe-05da-11ec-bfce-005056bb008a","2021-08-25 19:25:19.532469","2021-08-25 19:25:19.532469","2e5fb030-05da-11ec-9db0-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-1000.00"
"2f3f394e-05da-11ec-bfcf-005056bb008a","2021-08-25 19:25:19.532476","2021-08-25 19:25:19.532477","2e5fb102-05da-11ec-9db1-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","1","3529.52"
"2f3f398a-05da-11ec-bfd0-005056bb008a","2021-08-25 19:25:19.532483","2021-08-25 19:25:19.532483","2e5fb102-05da-11ec-9db1-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-3529.52"
"2f3f39c6-05da-11ec-bfd1-005056bb008a","2021-08-25 19:25:19.532489","2021-08-25 19:25:19.532489","2e5fb18e-05da-11ec-9db2-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","6","3000.00"
"2f3f3a02-05da-11ec-bfd2-005056bb008a","2021-08-25 19:25:19.532495","2021-08-25 19:25:19.532495","2e5fb18e-05da-11ec-9db2-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-3000.00"
"2f3f3a3e-05da-11ec-bfd3-005056bb008a","2021-08-25 19:25:19.532501","2021-08-25 19:25:19.532501","2e5fb206-05da-11ec-9db3-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","7","4165.57"
"2f3f3aac-05da-11ec-bfd4-005056bb008a","2021-08-25 19:25:19.532512","2021-08-25 19:25:19.532512","2e5fb206-05da-11ec-9db3-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-4165.57"
