id,time_created,time_updated,number,name,address1,address2,city,state,postal_code,latitude,longitude,country,county,phone,fax
aadb8fa4-05d9-11ec-8e98-005056bb008a,2021-08-25 19:21:37.420089,2021-08-25 19:21:37.420089,11,ALLEN SCOTT,372 Nelson Road,,DeFuniak Springs,FL,32435,,,USA,,8508927242,
aadba25a-05d9-11ec-8e99-005056bb008a,2021-08-25 19:21:37.420557,2021-08-25 19:21:37.420558,12,A1 Airconditioning & Heating L,PO Box 1325,,Bay Minette,AL,36507,,,USA,,2515800602,
aadba372-05d9-11ec-8e9a-005056bb008a,2021-08-25 19:21:37.420583,2021-08-25 19:21:37.420583,13,Action Auto,1240 Rucker Blvd.,,Enterprise,AL,36330,,,USA,,3343931725,3343476757
aadba3d6-05d9-11ec-8e9b-005056bb008a,2021-08-25 19:21:37.420594,2021-08-25 19:21:37.420594,14,Action Fire & Safety Equipment,605 East 6th Street,,Panama City,FL,32401,,,USA,,8507698304,8507698359
aadba46c-05d9-11ec-8e9c-005056bb008a,2021-08-25 19:21:37.420608,2021-08-25 19:21:37.420608,15,Advance Auto Parts,AAP Financial Services,P.O. Box 742063,Atlanta,GA,30374-2063,,,USA,,8508926481,
aadba4c6-05d9-11ec-8e9d-005056bb008a,2021-08-25 19:21:37.420617,2021-08-25 19:21:37.420617,16,Advanced Auto Diagnostic,9114 Highway 2301,,Youngstown,FL,32466,,,USA,,8507220495,8507220495
aadba520-05d9-11ec-8e9e-005056bb008a,2021-08-25 19:21:37.420626,2021-08-25 19:21:37.420626,17,"Airgas USA, LLC",P.O. Box 532609,,ATLANTA,GA,30353-2609,,,USA,,6015541100,
aadba57a-05d9-11ec-8e9f-005056bb008a,2021-08-25 19:21:37.420635,2021-08-25 19:21:37.420635,18,Alabama Power,306 East Church Street,,Atmore,AL,36502,,,USA,,8002452244,
aadba5d4-05d9-11ec-8ea0-005056bb008a,2021-08-25 19:21:37.420644,2021-08-25 19:21:37.420644,19,Alabama Dept. of Revenue,Corporate Tax Division,P.O. Box 327435,Montgomery,AL,36132-7435,,,USA,,3343537923,3342428915
aadba67e-05d9-11ec-8ea1-005056bb008a,2021-08-25 19:21:37.420661,2021-08-25 19:21:37.420661,20,Alabama State Banking Departme,P.O. Box 4600,,Montgomery,AL,36103-4600,,,USA,,,
aadba6d8-05d9-11ec-8ea2-005056bb008a,2021-08-25 19:21:37.42067,2021-08-25 19:21:37.42067,22,Alabama Department of Revenue,Business Privilege Tax Section,P.O. Box 327320,Montgomery,AL,36132-7320,,,USA,,,
aadba73c-05d9-11ec-8ea3-005056bb008a,2021-08-25 19:21:37.42068,2021-08-25 19:21:37.42068,23,Alex Brack Foundation,3098 Spring Lake Road,,DeFuniak Springs,FL,32433,,,USA,,8503330511,
aadba796-05d9-11ec-8ea4-005056bb008a,2021-08-25 19:21:37.420689,2021-08-25 19:21:37.420689,24,All Pro Tune Up,6216 Hyw 90 West,,Milton,FL,32570,,,USA,,8509833230,
