"store_number","region_id"
"1","b700f9fa-26bc-11ec-896f-005056bb008d"
"6","b700f9fa-26bc-11ec-896f-005056bb008d"
"7","b700f9fa-26bc-11ec-896f-005056bb008d"
"10","b700f9fa-26bc-11ec-896f-005056bb008d"
"14","b700f9fa-26bc-11ec-896f-005056bb008d"
"15","b700f9fa-26bc-11ec-896f-005056bb008d"
"16","b700f9fa-26bc-11ec-896f-005056bb008d"
"101","b700f9fa-26bc-11ec-896f-005056bb008d"
"106","b700f9fa-26bc-11ec-896f-005056bb008d"
"107","b700f9fa-26bc-11ec-896f-005056bb008d"
"110","b700f9fa-26bc-11ec-896f-005056bb008d"
"1","b70167e6-26bc-11ec-8971-005056bb008d"
"2","b70167e6-26bc-11ec-8971-005056bb008d"
"3","b70167e6-26bc-11ec-8971-005056bb008d"
"4","b70167e6-26bc-11ec-8971-005056bb008d"
"5","b70167e6-26bc-11ec-8971-005056bb008d"
